id,institution,address,purpose,latitude,longitude
40169,대구광역시 남구청,대구광역시 남구 중앙대로47길 97,생활방범,35.85434818,128.5852622
40170,대구광역시 남구청,대구광역시 남구 대명동 명덕로42길 35,생활방범,35.85515185,128.5922986
40171,대구광역시 남구청,대구광역시 남구 명덕로 220,생활방범,35.85640429,128.5942012
40172,대구광역시 남구청,대구광역시 남구 대명동 명덕로48길 17,생활방범,35.85579196,128.5940859
40173,대구광역시 남구청,대구광역시 남구 현충로46길 31,생활방범,35.85142599,128.5838014
40174,대구광역시 남구청,대구광역시 남구 계명중앙1길 21,생활방범,35.85646834,128.581137
40175,대구광역시 남구청,대구광역시 남구 양지북길 94-1,생활방범,35.85181008,128.578944
40176,대구광역시 남구청,대구광역시 남구 명덕로16길 156,생활방범,35.85141554,128.5766495
40177,대구광역시 남구청,대구광역시 남구 명덕로16길 62,생활방범,35.85563184,128.5770454
40178,대구광역시 남구청,대구광역시 남구 명덕로12길 97,생활방범,35.853403,128.5761142
40179,대구광역시 남구청,대구광역시 남구 명덕로16길 23,생활방범,35.85714223,128.5778425
40180,대구광역시 남구청,대구광역시 남구 양지로6길 67,생활방범,35.84824779,128.577501
40181,대구광역시 남구청,대구광역시 남구 대명동 현충서길 55,생활방범,35.84669361,128.578309
40182,대구광역시 남구청,대구광역시 남구 대경길 230,생활방범,35.84690731,128.5769821
40183,대구광역시 남구청,대구광역시 남구 대명동 대경5길 41-2,생활방범,35.84732643,128.5760441
40184,대구광역시 남구청,대구광역시 남구 대경길 335,생활방범,35.84954395,128.5741117
40185,대구광역시 남구청,대구광역시 남구 성당시장길 42-1,생활방범,35.84808364,128.5703704
40186,대구광역시 남구청,대구광역시 남구 성당로28길 12,생활방범,35.84703942,128.5681931
40187,대구광역시 남구청,대구광역시 남구 대명동 중앙대로21길 9,생활방범,35.84250768,128.5896557
40188,대구광역시 남구청,대구광역시 남구 대명로53길 28-4,생활방범,35.84408805,128.5858841
40189,대구광역시 남구청,대구광역시 남구 대명동 대명로58길 54,생활방범,35.84165169,128.5882904
40190,대구광역시 남구청,대구광역시 남구 현충로20길 18-2,생활방범,35.84145325,128.5809276
40191,대구광역시 남구청,대구광역시 남구 앞산순환로 407,생활방범,35.83231316,128.5704031
40192,대구광역시 남구청,대구광역시 남구 안지랑로7길 28-1,생활방범,35.8335076,128.5695095
40193,대구광역시 남구청,대구광역시 남구 안지랑로7길 28-1,생활방범,35.8335076,128.5695095
40194,대구광역시 남구청,대구광역시 남구 안지랑로15길 24-1,생활방범,35.83661218,128.5698564
40195,대구광역시 남구청,대구광역시 남구 안지랑로13길 18-2,생활방범,35.8361318,128.5704174
40196,대구광역시 남구청,대구광역시 남구 대명남로 81,생활방범,35.83503193,128.5670778
40197,대구광역시 남구청,대구광역시 남구 안지랑로21길 73,생활방범,35.83794867,128.5655157
40198,대구광역시 남구청,대구광역시 남구 앞산순환로99길 13,생활방범,35.83399,128.578456
40199,대구광역시 남구청,대구광역시 남구 자유길 12,생활방범,35.84102331,128.5833231
40200,대구광역시 남구청,대구광역시 남구 큰골3길 17,생활방범,35.83763401,128.5804347
40201,대구광역시 남구청,대구광역시 남구 큰골5길 19,생활방범,35.83738363,128.581883
40202,대구광역시 남구청,대구광역시 남구 현충로15길 30,생활방범,35.83856398,128.5782387
40203,대구광역시 남구청,대구광역시 남구 대명동 대명로36길 8,생활방범,35.83850604,128.5763603
40205,대구광역시 남구청,대구광역시 남구 대명복개로 21,생활방범,35.83964915,128.5604027
40206,대구광역시 남구청,대구광역시 남구 대명복개로1길 30,생활방범,35.84080043,128.5609228
40207,대구광역시 남구청,대구광역시 남구 대명동 대명복개로3길 63,생활방범,35.84146696,128.5637259
40208,대구광역시 남구청,대구광역시 남구 대명로13길 16,생활방범,35.84008027,128.5645679
40209,대구광역시 남구청,대구광역시 남구 도촌길 31,생활방범,35.84076063,128.5712587
40210,대구광역시 남구청,대구광역시 남구 대명서로 118,생활방범,35.83367072,128.5590323
40211,대구광역시 남구청,대구광역시 남구 대덕초등길 13,생활방범,35.83322009,128.5609551
40212,대구광역시 남구청,대구광역시 남구 앞산순환로69길 19-1,생활방범,35.83131324,128.5639522
40213,대구광역시 남구청,대구광역시 남구 매자안길 40,생활방범,35.83146652,128.5593489
40214,대구광역시 남구청,대구광역시 남구 앞산순환로 651,생활방범,35.83275206,128.5965047
40215,대구광역시 남구청,대구광역시 남구 앞산순환로 651,생활방범,35.83275206,128.5965047
40216,대구광역시 남구청,대구광역시 남구 대명역1길 38,생활방범,35.83851079,128.5667263
40217,대구광역시 남구청,대구광역시 남구 앞산순환로87길 56,생활방범,35.83287409,128.573128
40218,대구광역시 남구청,대구광역시 남구 대명로15길 13,생활방범,35.84069559,128.565967
40219,대구광역시 남구청,대구광역시 남구 관문시장1길 75,생활방범,35.83476338,128.5605232
40220,대구광역시 남구청,대구광역시 남구 봉덕로21길 32-2,생활방범,35.84621135,128.6012211
40221,대구광역시 남구청,대구광역시 남구 이천로6길 20,생활방범,35.84291303,128.5993142
40222,대구광역시 남구청,대구광역시 남구 대덕로40길 61-1,생활방범,35.83827913,128.6049135
40223,대구광역시 남구청,대구광역시 남구 고산1길 19,생활방범,35.83311819,128.6023949
40224,대구광역시 남구청,대구광역시 남구 삼정4길 25,생활방범,35.83857278,128.593672
40225,대구광역시 남구청,대구광역시 남구 이천로1길 60,생활방범,35.84220685,128.5945157
40226,대구광역시 남구청,대구광역시 남구 현충로19길 25,생활방범,35.84135687,128.5784915
40227,대구광역시 남구청,대구광역시 남구 현충로19길 59-8,생활방범,35.84120328,128.5766971
40228,대구광역시 남구청,대구광역시 남구 현충로25길 31,생활방범,35.8439541,128.5782005
40229,대구광역시 남구청,대구광역시 남구 대경길 28,생활방범,35.84896447,128.572779
40230,대구광역시 남구청,대구광역시 남구 현충로19길 10,생활방범,35.84157829,128.5793012
40231,대구광역시 남구청,대구광역시 남구 명덕로26길 23,생활방범,35.85528051,128.5844498
40232,대구광역시 남구청,대구광역시 남구 현충로40길 77,생활방범,35.85000346,128.5853298
40233,대구광역시 남구청,대구광역시 남구 현충로37길 7-2,생활방범,35.84928089,128.580077
40234,대구광역시 남구청,대구광역시 남구 현충로42길 24,생활방범,35.85067268,128.5830209
40235,대구광역시 남구청,대구광역시 남구 대명동 현충로39길 32,생활방범,35.85067215,128.5794118
40236,대구광역시 남구청,대구광역시 남구 명덕시장길 84,생활방범,35.84519704,128.5876524
